# ----------------------------------------
# SF OpenData - All Web Data
# Search Terms
# 20140901-20160622
# ----------------------------------------

Search Term,Exit Page,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Average Search Depth
shapefile,/browse/embed?category=&limit=20&limitTo=&q=shapefile&view_type=rich,21,2.43,0.00%,0.00%,00:03:24,7.62
shoreline,/Geographic-Locations-and-Boundaries/San-Francisco-Shoreline-Zipped-Shapefile-Format-/kj7y-jjpu,21,1.90,0.00%,7.50%,00:01:17,9.48
streets of san francisco,/Geographic-Locations-and-Boundaries/Streets-of-San-Francisco-Zipped-Shapefile-Format-/wbm8-ratb,21,1.52,0.00%,6.25%,00:00:24,4.81
tree,/City-Infrastructure/Street-Tree-List/tkzw-k3nq,21,2.14,0.00%,0.00%,00:02:03,7.81
weather,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=weather&view_type=rich,21,1.67,0.00%,5.71%,00:02:48,4.19
bicycle,/browse/embed?category=&limit=20&limitTo=&q=bicycle&view_type=rich,19,2.26,0.00%,6.98%,00:00:15,5.21
bicycle,/Transportation/Bicycle-Parking-Public-/w969-5mn4,19,2.05,0.00%,5.13%,00:01:57,8.79
bike network,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,19,4.21,0.00%,7.50%,00:03:33,12.58
business,/,19,2.37,0.00%,11.11%,00:11:23,16.21
Crime,/Public-Safety/SFPD-Incidents-from-1-January-2003/tmnf-yvry,19,1.68,0.00%,0.00%,00:06:43,7.11
film locations,/Culture-and-Recreation/Film-Locations-in-San-Francisco/yitu-d5am,19,1.68,0.00%,0.00%,00:02:49,9.89
neighborhood,/Geographic-Locations-and-Boundaries/SFFind-Neighborhoods/ejmn-jyk6,19,1.84,0.00%,0.00%,00:01:03,6.58
neighborhoods,/Geographic-Locations-and-Boundaries/Neighborhood-Groups-Map/iacs-ws63,19,1.68,0.00%,6.25%,00:03:07,6.16
parcel,/Geographic-Locations-and-Boundaries/Recorded-Parcel-Geography-with-Transaction-Date-Hi/ue7t-p29i,19,2.53,0.00%,0.00%,00:00:42,9.79
parking,/browse/embed?category=Transportation&limit=20&limitTo=&q=parking&view_type=rich,19,3.37,0.00%,7.81%,00:04:23,11.32
parking,/Transportation/On-street-Parking-Census/3gg2-z57m,19,2.26,0.00%,6.98%,00:02:28,8.79
restaurant,/,19,2.79,0.00%,11.32%,00:05:50,14.63
street,/Geographic-Locations-and-Boundaries/San-Francisco-Basemap-Street-Centerlines-Zipped-Sh/5rn4-fswj,19,3.05,0.00%,17.24%,00:02:20,12.74
311,/City-Infrastructure/311-Information-Requests-by-Month/hrr4-hjc6,18,2.50,0.00%,0.00%,00:03:01,9.78
311 cases,/City-Infrastructure/Case-Data-from-San-Francisco-311-SF311-/vw6y-z8j6,18,2.33,0.00%,0.00%,00:03:58,6.78
bike parking,/Transportation/Bicycle-Parking-Public-/w969-5mn4,18,1.94,0.00%,5.71%,00:01:05,11.83
business account number,/Economy-and-Community/Registered-Business-Locations-San-Francisco/g8m3-pdis,18,1.44,0.00%,11.54%,00:00:36,3.67
businesses,/Economy-and-Community/Registered-Business-Map/vt9c-aeiw,18,2.17,0.00%,5.13%,00:01:07,8.39
census shapefile,/Transportation/SFMTA-Bikeway-Network/t6vv-tjkd,18,2.61,0.00%,51.06%,00:05:47,14.44
citylots,/,18,3.06,0.00%,3.64%,00:03:40,14.44
citylots,/Geographic-Locations-and-Boundaries/City-Lots-Zipped-Shapefile-Format-/3vyz-qy9p,18,1.61,0.00%,0.00%,00:01:00,6.61
curb,/Geographic-Locations-and-Boundaries/City-curbs-and-islands-Zipped-Shapefile-Format-/nvxg-zay4,18,1.44,0.00%,0.00%,00:00:14,4.28
curbs,/Geographic-Locations-and-Boundaries/City-curbs-and-islands-Zipped-Shapefile-Format-/nvxg-zay4,18,1.44,0.00%,0.00%,00:00:23,4.28
energy,/browse/embed?Department-Metrics_Publishing-Department=&category=&limit=20&limitTo=&q=energy&view_type=rich,18,2.17,0.00%,0.00%,00:01:48,4.61
eviction,/Housing-and-Buildings/No-fault-Evictions-San-Francisco-CA/cx63-mamk,18,2.33,0.00%,4.76%,00:05:31,13.00
fire,/Public-Safety/Fire-Incidents/i69v-qbqc,18,2.06,0.00%,0.00%,00:01:56,8.89
food truck,/Economy-and-Community/Mobile-Food-Schedule/jjew-r69b,18,2.61,0.00%,0.00%,00:03:54,12.67
homeless,/Health-and-Social-Services/2011-Unsheltered-Homeless-Population-by-Supervisor/ibax-2ewt,18,1.33,0.00%,0.00%,00:00:38,3.56
Housing,/browse/embed?category=&limit=20&limitTo=&q=Housing&view_type=rich,18,1.94,0.00%,0.00%,00:00:04,5.00
